x,y,CO2flux
514969,4047737,3.68
514956,4047779,16.05
514922,4047757,7.57
514878,4047748,11.67
514829,4047736,30.62
514777,4047766,11.03
514820,4047779,15.84
514866,4047796,29.21
514916,4047808,28.85
514923,4047857,10.04
514871,4047836,37.55
514825,4047829,61.03
514783,4047807,12.16
514739,4047800,13.79
514771,4047829,4.95
514815,4047852,15.28
514869,4047868,31.82
514910,4047888,5.94
514946,4047906,21
514971,4047950,4.88
514948,4047971,3.25
514922,4047938,7.43
514885,4047921,13.65
514849,4047902,18.46
514806,4047892,9.26
514748,4047432,114
514764,4047385,10.61
514794,4047421,34.65
514816,4047442,0.64
514849,4047466,0.5
514878,4047479,5.66
514913,4047482,0.5
514957,4047518,61.67
514984,4047537,3.25
515010,4047547,6.36
515044,4047560,0.14
515077,4047562,14.5
514704,4047370,0.71
514687,4047392,1.49
514796,4047460,16.55
514833,4047495,10.89
514880,4047510,719.22
514928,4047518,60.32
514965,4047555,0.92
515007,4047585,0.99
515052,4047610,0.07
515121,4047623,0.14
515159,4047605,1.27
515162,4047669,1.2
515192,4047716,5.37
515227,4047726,0.07
515181,4047757,19.24
515150,4047784,10.11
515115,4047794,159.69
515112,4047829,11.39
515147,4047842,29
515176,4047861,2.48
515208,4047868,1.63
515243,4047885,1.2
515250,4047850,0.28
515213,4047824,3.82
515178,4047812,3.32
515210,4047783,8.2
515246,4047799,5.66
515263,4047768,1.63
514971,4048295,7
515337,4049281,1.63
515309,4049297,0.85
515280,4049312,1.13
515267,4049287,0.99
515230,4049294,0.64
515200,4049269,0.35
515163,4049242,0.14
515138,4049259,3.04
515160,4049297,0.78
515192,4049331,0.07
515224,4049374,0.42
515272,4049351,0.85
515309,4049335,0.42
515345,4049323,1.34
515384,4049319,0.64
515427,4049298,1.34
515468,4049287,4.1
515513,4049274,2.83
515555,4049270,9.55
515602,4049258,6.01
515637,4049246,2.9
515644,4049203,0.78
515687,4049203,2.26
515709,4049237,2.26
515743,4049181,6.22
515708,4049151,3.75
515667,4049163,6.79
515773,4049151,16.41
515802,4049118,21.64
515844,4049101,16.97
515870,4049086,3.18
515907,4049087,7.57
515959,4049110,4.17
515935,4049054,0.35
515919,4049007,8.7
515925,4048965,15.06
515928,4048920,15.63
515936,4048875,5.8
515941,4048822,10.54
515918,4049142,2.69
515873,4049160,10.04
515836,4049181,11.6
515802,4049203,13.3
515769,4049231,5.23
515729,4049258,1.63
515684,4049296,4.53
515636,4049316,3.96
515595,4049335,2.97
515547,4049352,9.34
515507,4049372,2.83
515460,4049379,0.21
515422,4049392,0.35
515382,4049404,1.84
515334,4049400,0.78
515301,4049405,1.41
514931,4048035,30.62
514941,4048067,121.43
514952,4048099,118.1
514965,4048126,212.37
514961,4048146,58.98
514991,4048175,77.37
515024,4048189,108.91
515073,4048219,191.23
515107,4048203,168.24
515139,4048191,174.25
515180,4048121,147.45
515170,4048086,21.36
515134,4048027,10.68
515095,4047978,3.96
515052,4047948,65.06
514991,4047970,353.74
515330,4048914,107.07
515359,4048931,26.8
515358,4048933,7.85
515310,4048908,70.79
515288,4048898,13.58
515273,4048891,2.69
515263,4048912,3.04
515281,4048919,19.38
515301,4048931,49.08
515318,4048942,47.52
515333,4048949,14.64
515350,4048965,1.13
515334,4048981,2.97
515317,4048966,3.96
515305,4048955,31.89
515284,4048938,26.1
515267,4048930,26.02
515247,4048923,4.74
515225,4048917,5.16
515216,4048934,12.52
515236,4048942,4.31
515252,4048947,3.54
515272,4048956,15.63
515292,4048963,84.79
515310,4048971,7.85
515328,4048982,5.3
515299,4048988,25.25
515316,4049002,3.25
515278,4048978,51.84
515258,4048971,4.74
515236,4048961,4.03
515217,4048955,3.11
515202,4048969,11.46
515224,4048977,13.37
515243,4048985,6.44
515263,4048992,149.29
515284,4048999,97.88
515305,4049009,2.76
515317,4049025,3.54
515319,4049049,0.42
515302,4049035,4.46
515285,4049019,5.02
515270,4049011,43.14
515245,4049008,1.27
515227,4049004,8.98
515204,4048996,13.3
515207,4049017,6.58
515225,4049019,4.46
515249,4049025,4.6
515268,4049032,36.85
515289,4049045,4.74
515309,4049058,1.77
515332,4049073,2.4
515313,4049096,0.71
515296,4049080,2.62
515277,4049069,22.21
515259,4049055,4.46
515245,4049050,2.83
515223,4049044,2.62
515223,4049071,6.58
515246,4049076,10.25
515266,4049085,60.61
515286,4049097,10.04
515306,4049110,1.41
515293,4049137,3.04
515276,4049121,23.69
515262,4049106,36.63
515244,4049096,4.1
515227,4049090,45.69
515206,4049085,28.29
515195,4049095,5.02
515216,4049102,17.18
515235,4049108,6.93
515252,4049119,31.12
515270,4049131,20.58
515286,4049133,33.24
515278,4048871,0.07
515301,4048876,4.46
515326,4048884,42.79
